"ID","CLASSE","TIPO","LAT","LON","QUAD"
1,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.567232","-46.7091409","(4, 31)"
2,"POLICIA MILITAR","ACADEMIA DE POLICIA","-23.4723139","-46.6182287","(5, 32)"
3,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5470121","-46.6580658","(4, 32)"
4,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.7417364","-46.70915780000001","(2, 31)"
5,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5619338","-46.7466739","(4, 31)"
6,"POLICIA MILITAR","DIRETORIA DE SISTEMAS","-23.5292486","-46.6252329","(4, 32)"
7,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5352211","-46.4537193","(4, 34)"
8,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.6134946","-46.66515889999999","(3, 32)"
9,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5850571","-46.4093893","(4, 35)"
10,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5556315","-46.6722056","(4, 32)"
11,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5415746","-46.7601106","(4, 31)"
12,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.485549","-46.4372446","(5, 34)"
13,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5793692","-46.5174278","(4, 34)"
14,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5951042","-46.6654729","(3, 32)"
15,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5800733","-46.442922","(4, 34)"
16,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.641986","-46.6334855","(3, 32)"
17,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.639592","-46.627284","(3, 32)"
18,"POLICIA MILITAR","CASA MILITAR","-23.6019187","-46.71283880000001","(3, 31)"
19,"POLICIA MILITAR","COMANDO REGIONAL","-23.4687868","-46.6169629","(5, 32)"
20,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.6020727","-46.6375182","(3, 32)"
21,"POLICIA MILITAR","BATALHAO DA POLICIA","-23.5877673","-46.50293260000001","(3, 34)"
22,"POLICIA MILITAR","ASSESSORIA DE POLICIA","-23.5805079","-46.657702","(4, 32)"
