ID,CLASSE,TIPO,LAT,LON,QUAD
1,POLICIA MILITAR,BATALHAO DA POLICIA,-23.567232,-46.7091409,"(14, 4)"
2,POLICIA MILITAR,ACADEMIA DE POLICIA,-23.4723139,-46.6182287,"(17, 7)"
3,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5470121,-46.6580658,"(14, 6)"
4,POLICIA MILITAR,BATALHAO DA POLICIA,-23.7417364,-46.70915780000001,"(7, 4)"
5,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5619338,-46.7466739,"(14, 2)"
6,POLICIA MILITAR,DIRETORIA DE SISTEMAS,-23.5292486,-46.6252329,"(15, 7)"
7,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5352211,-46.4537193,"(15, 13)"
8,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6134946,-46.66515889999999,"(12, 5)"
9,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5850571,-46.4093893,"(13, 15)"
10,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5556315,-46.6722056,"(14, 5)"
11,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5415746,-46.7601106,"(15, 2)"
12,POLICIA MILITAR,BATALHAO DA POLICIA,-23.485549,-46.4372446,"(17, 14)"
13,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5793692,-46.5174278,"(13, 11)"
14,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5951042,-46.6654729,"(13, 5)"
15,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5800733,-46.442922,"(13, 14)"
16,POLICIA MILITAR,BATALHAO DA POLICIA,-23.641986,-46.6334855,"(11, 7)"
17,POLICIA MILITAR,BATALHAO DA POLICIA,-23.639592,-46.627284,"(11, 7)"
18,POLICIA MILITAR,CASA MILITAR,-23.6019187,-46.71283880000001,"(12, 4)"
19,POLICIA MILITAR,COMANDO REGIONAL,-23.4687868,-46.6169629,"(17, 7)"
20,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6020727,-46.6375182,"(12, 6)"
21,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5877673,-46.50293260000001,"(13, 11)"
22,POLICIA MILITAR,ASSESSORIA DE POLICIA,-23.5805079,-46.657702,"(13, 6)"
23,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5443756,-46.7233607,"(14, 3)"
24,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6022879,-46.5213287,"(12, 11)"
25,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6404748,-46.5988949,"(11, 8)"
26,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6058536,-46.4706972,"(12, 13)"
27,POLICIA MILITAR,BATALHAO DA POLICIA,-23.4975448,-46.7268765,"(16, 3)"
28,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5580882,-46.5700756,"(14, 9)"
29,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5330203,-46.64523130000001,"(15, 6)"
30,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5737278,-46.5050004,"(13, 11)"
31,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5426786,-46.4187947,"(14, 14)"
32,POLICIA MILITAR,COMANDO DE POLICIAMENTO,-23.612849,-46.48817709999999,"(12, 12)"
33,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6193482,-46.4239622,"(12, 14)"
34,POLICIA MILITAR,BATALHAO DA POLICIA,-23.4638162,-46.6270961,"(17, 7)"
35,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5321943,-46.6304135,"(15, 7)"
36,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6630237,-46.7816559,"(10, 1)"
37,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5308886,-46.44342930000001,"(15, 14)"
38,POLICIA MILITAR,CORREGEDORIA,-23.5312849,-46.6294523,"(15, 7)"
39,POLICIA MILITAR,BATALHAO DA POLICIA,-23.548162,-46.6981766,"(14, 4)"
40,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5177596,-46.5847139,"(15, 8)"
41,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5270446,-46.59250670000001,"(15, 8)"
42,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6324395,-46.7284459,"(11, 3)"
43,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5733678,-46.5574761,"(13, 9)"
44,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6223052,-46.4878966,"(12, 12)"
45,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5227494,-46.6176167,"(15, 7)"
46,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5409958,-46.4536792,"(15, 13)"
47,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5715545,-46.7227717,"(13, 3)"
48,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5784104,-46.5478337,"(13, 10)"
49,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5895802,-46.5681933,"(13, 9)"
50,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5292173,-46.6117538,"(15, 7)"
51,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5384810448834,-46.7568789126241,"(15, 2)"
52,POLICIA MILITAR,BATALHAO DA POLICIA,-23.4936556,-46.4030005,"(16, 15)"
53,POLICIA MILITAR,BATALHAO DA POLICIA,-23.3243913,-46.2355142,"(23, 21)"
54,POLICIA MILITAR,BATALHAO DA POLICIA,-23.608867,-46.638066,"(12, 6)"
55,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5909007,-46.6087102,"(13, 7)"
56,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5334247,-46.6579578,"(15, 6)"
57,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5367643,-46.5267303,"(15, 10)"
58,POLICIA MILITAR,COMANDO DE POLICIAMENTO,-23.6430749,-46.7196937,"(11, 3)"
59,POLICIA MILITAR,ASSESSORIA DE POLICIA,-23.5463293,-46.6502105,"(14, 6)"
60,POLICIA MILITAR,BATALHAO DA POLICIA,-23.537227,-46.5267075,"(15, 10)"
61,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5885195,-46.40706369999999,"(13, 15)"
62,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5997842,-46.5350923,"(12, 10)"
63,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6418377,-46.5960628,"(11, 8)"
64,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5123119,-46.5347522,"(16, 10)"
65,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5369322,-46.6653372,"(15, 5)"
66,POLICIA MILITAR,ASSESSORIA DE POLICIA,-23.5512124,-46.6423589,"(14, 6)"
67,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5818867,-46.6747214,"(13, 5)"
68,POLICIA MILITAR,BATALHAO DA POLICIA,-23.538995,-46.4659351,"(15, 13)"
69,POLICIA MILITAR,REGIMENTO DE POLICIA MONTADA,-23.5317571,-46.6297286,"(15, 7)"
70,POLICIA MILITAR,COMANDO DE POLICIAMENTO,-23.5322934,-46.6266633,"(15, 7)"
71,POLICIA MILITAR,COMANDO GERAL,-23.5490933,-46.6377296,"(14, 6)"
72,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6433771,-46.63457330000001,"(11, 6)"
73,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6078081,-46.4600407,"(12, 13)"
74,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5727656,-46.6636815,"(13, 5)"
75,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5575589,-46.57882,"(14, 9)"
76,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5695218,-46.4719092,"(14, 12)"
77,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5594342,-46.6246996,"(14, 7)"
78,POLICIA MILITAR,BATALHAO DA POLICIA,-23.523875,-46.7322794,"(15, 3)"
79,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6651615,-46.7836077,"(10, 1)"
80,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5240258,-46.4139357,"(15, 15)"
81,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5272911,-46.72135309999999,"(15, 3)"
82,POLICIA MILITAR,BATALHAO DA POLICIA,-23.564916,-46.6389557,"(14, 6)"
83,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6268403,-46.6621173,"(11, 5)"
84,POLICIA MILITAR,BATALHAO DA POLICIA,-23.6246057,-46.6716469,"(11, 5)"
85,POLICIA MILITAR,BATALHAO DA POLICIA,-23.531614,-46.6338199,"(15, 6)"
86,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5297112,-46.6123533,"(15, 7)"
87,POLICIA MILITAR,BATALHAO DA POLICIA,-23.5687897,-46.5447188,"(14, 10)"
